Nivel,Número de Vacantes,OPEC,Asignación salarial,Experiencia,Dependencias ,Estudio
Instructor,6,228934,4065092,"Doce(12) meses de EXPERIENCIA RELACIONADA, 
 Y, Doce(12) meses de EXPERIENCIA DOCENTE, 
 O, Doce(12) meses de Experiencia relacionada con el ejercicio de enseñanza de idiomas y acreditar la totalidad de las catorce (14) certificaciones de la ruta formativa en “Competencias Integrales para la Cualificación del Instructor SENA","Dependencia: ANTIOQUIA- COMPLEJO TECNOLOGICO PARA LA GESTION AGROEMPRESARIAL,  Municipio: Caucasia, Total vacantes: 1","Título de PROFESIONAL en NBC: EDUCACION
 ,O, NBC:   LENGUAS MODERNAS, LITERATURA, LINGUISTICA Y AFINES."
Profesional,2,228944,7477656,Veintiuno(21) meses de EXPERIENCIA PROFESIONAL RELACIONADA,"Dependencia: ANTIOQUIA- CENTRO DE FORMACION EN DISEÑO, CONFECCION Y MODA,  Municipio: Itagüí, Total vacantes: 1","Título de PROFESIONAL en NBC: ADMINISTRACION
 ,O, NBC:   ARQUITECTURA
 ,O, NBC:   CONTADURIA PUBLICA
 ,O, NBC:   DERECHO Y AFINES
 ,O, NBC:   ECONOMIA
 ,O, NBC:   INGENIERIA ADMINISTRATIVA Y AFINES
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES.

Titulo de postgrado en la modalidad de ESPECIALIZACION EN AREAS RELACIONADAS CON LAS FUNCIONES DEL EMPLEO."
Instructor,1,228945,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: CAUCA-CENTRO DE COMERCIO Y SERVICIOS,  Municipio: Popayán, Total vacantes: 1","Título de MAESTRIA en NBC: ECONOMIA
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: ECONOMIA
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,7,228946,4065092,"Doce(12) meses de EXPERIENCIA RELACIONADA, 
 Y, Doce(12) meses de EXPERIENCIA DOCENTE, 
 O, Doce(12) meses de Experiencia relacionada con el ejercicio de interacción consigo mismo, con los demás, con la naturaleza y con la trascendencia y acreditar la totalidad de las catorce (14) certificaciones de la ruta formativa en “Competencias Integrales para la Cualificación del Instructor SENA","Dependencia: HUILA- CENTRO DE GESTION Y DESARROLLO SOSTENIBLE SURCOLOMBIANO,  Municipio: Pitalito, Total vacantes: 1","Título de PROFESIONAL en NBC: ANTROPOLOGIA Y ARTES LIBERALES
 ,O, NBC:   CIENCIA POLITICA, RELACIONES INTERNACIONALES
 ,O, NBC:   DERECHO Y AFINES
 ,O, NBC:   EDUCACION
 ,O, NBC:   FILOSOFIA, TEOLOGIA Y AFINES
 ,O, NBC:   PSICOLOGIA
 ,O, NBC:   SOCIOLOGIA, TRABAJO SOCIAL Y AFINES."
Profesional,1,228947,8208795,"Quince(15) meses de experiencia relacionada con implementación de procesos de innovación, o investigación o producción académica, o divulgación científica, o propiedad intelectual, o transferencia tecnológica, o metodologías de evaluación de procesos y seguimiento a proyectos de ciencia, tecnología e innovación","Dependencia: GUAJIRA-CENTRO INDUSTRIAL Y DE ENERGÍAS ALTERNATIVAS,  Municipio: Riohacha, Total vacantes: 1","Título de PROFESIONAL en NBC: ADMINISTRACION
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES.

Titulo de postgrado en la modalidad de MAESTRIA en NBC: ADMINISTRACION
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES.


,Y, acreditar una (1) certificación, de entre las siguientes opciones: (1) Fortalecimiento de las Capacidades en Marco Lógico; (2) Fortalecimiento de las Capacidades en Propiedad Intelectual para Investigadores; (3) Escritura y Producción Intelectual o Escritura de Artículos Científicos y Tecnológicos; (4) Herramientas y Competencias para la generación de Innovación; (5) Definición de Indicadores y Vigilancia Tecnológica."
Profesional,1,228948,8208795,"Quince(15) meses de experiencia relacionada con implementación de procesos de innovación, o investigación o producción académica, o divulgación científica, o propiedad intelectual, o transferencia tecnológica, o metodologías de evaluación de procesos y seguimiento a proyectos de ciencia, tecnología e innovación","Dependencia: SANTANDER-CENTRO INDUSTRIAL Y DEL DESARROLLO TECNOLÓGICO,  Municipio: Barrancabermeja, Total vacantes: 1","Título de PROFESIONAL en NBC: DISENO
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS.

Titulo de postgrado en la modalidad de MAESTRIA en NBC: DISENO
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS.


,Y, acreditar una (1) certificación, de entre las siguientes opciones: (1) Fortalecimiento de las Capacidades en Marco Lógico; (2) Fortalecimiento de las Capacidades en Propiedad Intelectual para Investigadores; (3) Escritura y Producción Intelectual o Escritura de Artículos Científicos y Tecnológicos; (4) Herramientas y Competencias para la generación de Innovación; (5) Definición de Indicadores y Vigilancia Tecnológica."
Instructor,2,228949,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: RISARALDA-CENTRO ATENCIÓN SECTOR AGROPECUARIO,  Municipio: Pereira, Total vacantes: 2","Título de MAESTRIA en NBC: AGRONOMIA
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AGRONOMICA, PECUARIA Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   MEDICINA VETERINARIA
 ,O, NBC:   OTRAS INGENIERIAS
 ,O, NBC:   ZOOTECNIA
 ,Y, Título de PROFESIONAL en NBC: AGRONOMIA
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AGRONOMICA, PECUARIA Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   MEDICINA VETERINARIA
 ,O, NBC:   OTRAS INGENIERIAS
 ,O, NBC:   ZOOTECNIA."
Profesional,1,228950,9095760,"Diez y ocho(18) meses de experiencia relacionada con implementación de procesos de innovación, o investigación o producción académica, o divulgación científica, o propiedad intelectual, o transferencia tecnológica, o metodologías de evaluación de procesos y seguimiento a proyectos de ciencia, tecnología e innovación","Dependencia: ATLANTICO- CENTRO INDUSTRIAL Y DE AVIACION,  Municipio: Barranquilla, Total vacantes: 1","Título de PROFESIONAL en NBC: INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES.

Titulo de postgrado en la modalidad de MAESTRIA en NBC: INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES.
 ,Y, Acreditar una (1) certificación, de entre las siguientes opciones: (1) Fortalecimiento de las Capacidades en Marco Lógico; (2) Fortalecimiento de las Capacidades en Propiedad Intelectual para Investigadores; (3) Escritura y Producción Intelectual o Escritura de Artículos Científicos y Tecnológicos; (4) Herramientas y Competencias para la Generación de Innovación; (5) Definición de Indicadores de Innovación y Vigilancia Tecnológica."
Instructor,2,228951,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: CESAR- CENTRO AGROEMPRESARIAL,  Municipio: Aguachica, Total vacantes: 2","Título de MAESTRIA en NBC: EDUCACION
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,O, NBC:   ZOOTECNIA
 ,Y, Título de PROFESIONAL en NBC: EDUCACION
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,O, NBC:   ZOOTECNIA."
Profesional,2,228952,9095760,"Diez y ocho(18) meses de experiencia relacionada con implementación de procesos de innovación, o investigación o producción académica, o divulgación científica, o propiedad intelectual, o transferencia tecnológica, o metodologías de evaluación de procesos y seguimiento a proyectos de ciencia, tecnología e innovación","Dependencia: VALLE-CENTRO NACIONAL DE ASISTENCIA TECNICA A LA INDUSTRIA ASTIN,  Municipio: Cali, Total vacantes: 2","Título de PROFESIONAL en NBC: ADMINISTRACION
 ,O, NBC:   ARQUITECTURA
 ,O, NBC:   ARTES PLASTICAS, VISUALES Y AFINES
 ,O, NBC:   ARTES REPRESENTATIVAS
 ,O, NBC:   BIOLOGIA, MICROBIOLOGIA Y AFINES
 ,O, NBC:   DISENO
 ,O, NBC:   FISICA
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AMBIENTAL, SANITARIA Y AFINES
 ,O, NBC:   INGENIERIA BIOMEDICA Y AFINES
 ,O, NBC:   INGENIERIA DE MINAS, METALURGIA Y AFINES
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   MATEMATICAS, ESTADISTICA Y AFINES
 ,O, NBC:   PUBLICIDAD Y AFINES
 ,O, NBC:   QUIMICA Y AFINES.

Titulo de postgrado en la modalidad de MAESTRIA en NBC: ADMINISTRACION
 ,O, NBC:   ARQUITECTURA
 ,O, NBC:   ARTES PLASTICAS, VISUALES Y AFINES
 ,O, NBC:   ARTES REPRESENTATIVAS
 ,O, NBC:   BIOLOGIA, MICROBIOLOGIA Y AFINES
 ,O, NBC:   DISENO
 ,O, NBC:   FISICA
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AMBIENTAL, SANITARIA Y AFINES
 ,O, NBC:   INGENIERIA BIOMEDICA Y AFINES
 ,O, NBC:   INGENIERIA DE MINAS, METALURGIA Y AFINES
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   MATEMATICAS, ESTADISTICA Y AFINES
 ,O, NBC:   PUBLICIDAD Y AFINES
 ,O, NBC:   QUIMICA Y AFINES.
 ,Y, Acreditar una (1) certificación, de entre las siguientes opciones: (1) Fortalecimiento de las Capacidades en Marco Lógico; (2) Fortalecimiento de las Capacidades en Propiedad Intelectual para Investigadores; (3) Escritura y Producción Intelectual o Escritura de Artículos Científicos y Tecnológicos; (4) Herramientas y Competencias para la Generación de Innovación; (5) Definición de Indicadores de Innovación y Vigilancia Tecnológica."
